taxon_order,category,species_code,primary_com_name,sci_name,order,family,species_group,report_as,family_common
1,species,ostric2,common ostrich,struthio camelus,struthioniformes,struthionidae,ostriches,,ostriches
6,species,ostric3,somali ostrich,struthio molybdophanes,struthioniformes,struthionidae,,,ostriches
7,slash,y00934,common/somali ostrich,struthio camelus/molybdophanes,struthioniformes,struthionidae,,,ostriches
8,species,grerhe1,greater rhea,rhea americana,rheiformes,rheidae,rheas,,rheas
14,species,lesrhe2,lesser rhea,rhea pennata,rheiformes,rheidae,,,rheas
15,issf,lesrhe4,lesser rhea (puna),rhea pennata tarapacensis/garleppi,rheiformes,rheidae,,lesrhe2,rheas
18,issf,lesrhe3,lesser rhea (darwin's),rhea pennata pennata,rheiformes,rheidae,,lesrhe2,rheas
19,species,tabtin1,tawny-breasted tinamou,nothocercus julius,tinamiformes,tinamidae,tinamous,,tinamous
20,species,higtin1,highland tinamou,nothocercus bonapartei,tinamiformes,tinamidae,,,tinamous
21,issf,higtin2,highland tinamou (south american),nothocercus bonapartei [bonapartei group],tinamiformes,tinamidae,,higtin1,tinamous
26,issf,higtin3,highland tinamou (costa rican),nothocercus bonapartei frantzii,tinamiformes,tinamidae,,higtin1,tinamous
27,species,hootin1,hooded tinamou,nothocercus nigrocapillus,tinamiformes,tinamidae,,,tinamous
30,species,grytin1,gray tinamou,tinamus tao,tinamiformes,tinamidae,,,tinamous
35,species,soltin1,solitary tinamou,tinamus solitarius,tinamiformes,tinamidae,,,tinamous
36,species,blatin1,black tinamou,tinamus osgoodi,tinamiformes,tinamidae,,,tinamous
39,species,gretin1,great tinamou,tinamus major,tinamiformes,tinamidae,,,tinamous
52,species,whttin1,white-throated tinamou,tinamus guttatus,tinamiformes,tinamidae,,,tinamous
53,spuh,tinamu1,tinamus sp.,tinamus sp.,tinamiformes,tinamidae,,,tinamous
54,species,cintin1,cinereous tinamou,crypturellus cinereus,tinamiformes,tinamidae,,,tinamous
55,species,bertin1,berlepsch's tinamou,crypturellus berlepschi,tinamiformes,tinamidae,,,tinamous
56,species,littin1,little tinamou,crypturellus soui,tinamiformes,tinamidae,,,tinamous
71,species,teptin1,tepui tinamou,crypturellus ptaritepui,tinamiformes,tinamidae,,,tinamous
72,species,brotin1,brown tinamou,crypturellus obsoletus,tinamiformes,tinamidae,,,tinamous
73,issf,brntin1,brown tinamou (castaneus),crypturellus obsoletus castaneus,tinamiformes,tinamidae,,brotin1,tinamous
74,issf,brntin2,brown tinamou (brown),crypturellus obsoletus [obsoletus group],tinamiformes,tinamidae,,brotin1,tinamous
83,species,undtin1,undulated tinamou,crypturellus undulatus,tinamiformes,tinamidae,,,tinamous
90,species,pabtin1,pale-browed tinamou,crypturellus transfasciatus,tinamiformes,tinamidae,,,tinamous
91,species,bratin1,brazilian tinamou,crypturellus strigulosus,tinamiformes,tinamidae,,,tinamous
92,species,gyltin1,gray-legged tinamou,crypturellus duidae,tinamiformes,tinamidae,,,tinamous
93,species,reltin1,red-legged tinamou,crypturellus erythropus,tinamiformes,tinamidae,,,tinamous
101,species,yeltin1,yellow-legged tinamou,crypturellus noctivagus,tinamiformes,tinamidae,,,tinamous
102,issf,yeltin2,yellow-legged tinamou (zabele),crypturellus noctivagus zabele,tinamiformes,tinamidae,,yeltin1,tinamous
103,issf,yeltin3,yellow-legged tinamou (noctivagus),crypturellus noctivagus noctivagus,tinamiformes,tinamidae,,yeltin1,tinamous
104,species,blctin1,black-capped tinamou,crypturellus atrocapillus,tinamiformes,tinamidae,,,tinamous
107,species,slbtin1,slaty-breasted tinamou,crypturellus boucardi,tinamiformes,tinamidae,,,tinamous
110,species,chotin1,choco tinamou,crypturellus kerriae,tinamiformes,tinamidae,,,tinamous
111,species,vartin1,variegated tinamou,crypturellus variegatus,tinamiformes,tinamidae,,,tinamous
112,species,thitin1,thicket tinamou,crypturellus cinnamomeus,tinamiformes,tinamidae,,,tinamous
113,issf,thitin2,thicket tinamou (occidentalis),crypturellus cinnamomeus occidentalis,tinamiformes,tinamidae,,thitin1,tinamous
114,issf,thitin3,thicket tinamou (cinnamomeus group),crypturellus cinnamomeus [cinnamomeus group],tinamiformes,tinamidae,,thitin1,tinamous
123,species,rustin1,rusty tinamou,crypturellus brevirostris,tinamiformes,tinamidae,,,tinamous
124,species,bartin2,bartlett's tinamou,crypturellus bartletti,tinamiformes,tinamidae,,,tinamous
125,species,smbtin1,small-billed tinamou,crypturellus parvirostris,tinamiformes,tinamidae,,,tinamous
126,species,bartin1,barred tinamou,crypturellus casiquiare,tinamiformes,tinamidae,,,tinamous
127,species,tattin1,tataupa tinamou,crypturellus tataupa,tinamiformes,tinamidae,,,tinamous
132,spuh,cryptu1,crypturellus sp.,crypturellus sp.,tinamiformes,tinamidae,,,tinamous
133,species,rewtin1,red-winged tinamou,rhynchotus rufescens,tinamiformes,tinamidae,,,tinamous
137,species,huatin1,huayco tinamou,rhynchotus maculicollis,tinamiformes,tinamidae,,,tinamous
138,species,tactin1,taczanowski's tinamou,nothoprocta taczanowskii,tinamiformes,tinamidae,,,tinamous
139,species,orntin1,ornate tinamou,nothoprocta ornata,tinamiformes,tinamidae,,,tinamous
143,species,chitin1,chilean tinamou,nothoprocta perdicaria,tinamiformes,tinamidae,,,tinamous
146,species,brutin1,brushland tinamou,nothoprocta cinerascens,tinamiformes,tinamidae,,,tinamous
149,species,andtin1,andean tinamou,nothoprocta pentlandii,tinamiformes,tinamidae,,,tinamous
157,species,cubtin1,curve-billed tinamou,nothoprocta curvirostris,tinamiformes,tinamidae,,,tinamous
160,spuh,nothop1,nothoprocta sp.,nothoprocta sp.,tinamiformes,tinamidae,,,tinamous
161,species,whbnot1,white-bellied nothura,nothura boraquira,tinamiformes,tinamidae,,,tinamous
162,species,lesnot1,lesser nothura,nothura minor,tinamiformes,tinamidae,,,tinamous
163,species,darnot1,darwin's nothura,nothura darwinii,tinamiformes,tinamidae,,,tinamous
169,species,sponot1,spotted nothura,nothura maculosa,tinamiformes,tinamidae,,,tinamous
179,species,dwatin1,dwarf tinamou,taoniscus nanus,tinamiformes,tinamidae,,,tinamous
180,species,elctin1,elegant crested-tinamou,eudromia elegans,tinamiformes,tinamidae,,,tinamous
191,species,quctin1,quebracho crested-tinamou,eudromia formosa,tinamiformes,tinamidae,,,tinamous
194,species,puntin1,puna tinamou,tinamotis pentlandii,tinamiformes,tinamidae,,,tinamous
195,species,pattin1,patagonian tinamou,tinamotis ingoufi,tinamiformes,tinamidae,,,tinamous
196,spuh,tinamo1,tinamou sp.,tinamidae sp.,tinamiformes,tinamidae,,,tinamous
197,species,soucas1,southern cassowary,casuarius casuarius,casuariiformes,casuariidae,cassowaries and emu,,cassowaries and emu
198,species,dwacas1,dwarf cassowary,casuarius bennetti,casuariiformes,casuariidae,,,cassowaries and emu
199,species,norcas1,northern cassowary,casuarius unappendiculatus,casuariiformes,casuariidae,,,cassowaries and emu
200,species,emu1,emu,dromaius novaehollandiae,casuariiformes,casuariidae,,,cassowaries and emu
205,species,sobkiw1,southern brown kiwi,apteryx australis,apterygiformes,apterygidae,kiwis,,kiwis
206,issf,sobkiw2,southern brown kiwi (south i.),apteryx australis australis,apterygiformes,apterygidae,,sobkiw1,kiwis
207,issf,sobkiw3,southern brown kiwi (stewart i.),apteryx australis lawryi,apterygiformes,apterygidae,,sobkiw1,kiwis
208,species,okbkiw1,okarito brown kiwi,apteryx rowi,apterygiformes,apterygidae,,,kiwis
209,species,nibkiw1,north island brown kiwi,apteryx mantelli,apterygiformes,apterygidae,,,kiwis
210,species,liskiw1,little spotted kiwi,apteryx owenii,apterygiformes,apterygidae,,,kiwis
211,species,grskiw1,great spotted kiwi,apteryx haastii,apterygiformes,apterygidae,,,kiwis
212,spuh,kiwi1,kiwi sp.,apteryx sp.,apterygiformes,apterygidae,,,kiwis
213,species,horscr1,horned screamer,anhima cornuta,anseriformes,anhimidae,screamers,,screamers
214,species,souscr1,southern screamer,chauna torquata,anseriformes,anhimidae,,,screamers
215,species,norscr1,northern screamer,chauna chavaria,anseriformes,anhimidae,,,screamers
216,species,maggoo1,magpie goose,anseranas semipalmata,anseriformes,anseranatidae,waterfowl,,magpie goose
217,species,spwduc1,spotted whistling-duck,dendrocygna guttata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
218,species,plwduc1,plumed whistling-duck,dendrocygna eytoni,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
219,species,wfwduc1,white-faced whistling-duck,dendrocygna viduata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
220,hybrid,x00721,spotted x white-faced whistling-duck (hybrid),dendrocygna guttata x viduata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
221,species,bbwduc,black-bellied whistling-duck,dendrocygna autumnalis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
222,issf,bkbwhd1,black-bellied whistling-duck (fulgens),dendrocygna autumnalis fulgens,anseriformes,anatidae,,bbwduc,"ducks, geese, and waterfowl"
223,issf,bkbwhd2,black-bellied whistling-duck (autumnalis),dendrocygna autumnalis autumnalis,anseriformes,anatidae,,bbwduc,"ducks, geese, and waterfowl"
224,species,wiwduc1,west indian whistling-duck,dendrocygna arborea,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
225,hybrid,x00775,black-bellied x west indian whistling-duck (hybrid),dendrocygna autumnalis x arborea,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
226,species,fuwduc,fulvous whistling-duck,dendrocygna bicolor,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
227,hybrid,x00938,white-faced x fulvous whistling-duck (hybrid),dendrocygna viduata x bicolor,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
228,hybrid,x00875,black-bellied x fulvous whistling-duck (hybrid),dendrocygna autumnalis x bicolor,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
229,species,wawduc1,wandering whistling-duck,dendrocygna arcuata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
233,species,lewduc1,lesser whistling-duck,dendrocygna javanica,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
234,slash,y01080,fulvous/lesser whistling-duck,dendrocygna bicolor/javanica,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
235,hybrid,x00360,wandering x lesser whistling-duck (hybrid),dendrocygna arcuata x javanica,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
236,spuh,whistl1,whistling-duck sp.,dendrocygna sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
237,species,whbduc1,white-backed duck,thalassornis leuconotus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
240,species,bahgoo,bar-headed goose,anser indicus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
241,species,empgoo,emperor goose,anser canagicus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
242,species,snogoo,snow goose,anser caerulescens,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
245,species,rosgoo,ross's goose,anser rossii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
246,hybrid,sxrgoo1,snow x ross's goose (hybrid),anser caerulescens x rossii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
247,slash,y00469,snow/ross's goose,anser caerulescens/rossii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
248,species,gragoo,graylag goose,anser anser,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
249,issf,gragoo2,graylag goose (european),anser anser anser,anseriformes,anatidae,,gragoo,"ducks, geese, and waterfowl"
250,issf,gragoo3,graylag goose (siberian),anser anser rubrirostris,anseriformes,anatidae,,gragoo,"ducks, geese, and waterfowl"
251,domestic,gragoo1,graylag goose (domestic type),anser anser (domestic type),anseriformes,anatidae,,,"ducks, geese, and waterfowl"
252,species,swagoo1,swan goose,anser cygnoides,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
253,domestic,swagoo2,swan goose (domestic type),anser cygnoides (domestic type),anseriformes,anatidae,,,"ducks, geese, and waterfowl"
254,hybrid,x00776,graylag x swan goose (domestic type) (hybrid),anser anser x cygnoides (domestic type),anseriformes,anatidae,,,"ducks, geese, and waterfowl"
255,species,gwfgoo,greater white-fronted goose,anser albifrons,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
256,issf,gwfgoo1,greater white-fronted goose (greenland),anser albifrons flavirostris,anseriformes,anatidae,,gwfgoo,"ducks, geese, and waterfowl"
257,issf,gwfgoo4,greater white-fronted goose (eurasian),anser albifrons albifrons,anseriformes,anatidae,,gwfgoo,"ducks, geese, and waterfowl"
258,issf,gwfgoo2,greater white-fronted goose (western),anser albifrons gambelli/sponsa,anseriformes,anatidae,,gwfgoo,"ducks, geese, and waterfowl"
261,issf,gwfgoo3,greater white-fronted goose (tule),anser albifrons elgasi,anseriformes,anatidae,,gwfgoo,"ducks, geese, and waterfowl"
262,hybrid,x00755,bar-headed x greater white-fronted goose (hybrid),anser indicus x albifrons,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
263,hybrid,x00361,emperor x greater white-fronted goose (hybrid),anser canagicus x albifrons,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
264,hybrid,x00627,snow x greater white-fronted goose (hybrid),anser caerulescens x albifrons,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
265,hybrid,x00362,ross's x greater white-fronted goose (hybrid),anser rossii x albifrons,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
266,species,lwfgoo,lesser white-fronted goose,anser erythropus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
267,slash,y00707,greater/lesser white-fronted goose,anser albifrons/erythropus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
268,species,taibeg1,taiga bean-goose,anser fabalis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
272,species,tunbeg1,tundra bean-goose,anser serrirostris,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
275,slash,y00468,taiga/tundra bean-goose,anser fabalis/serrirostris,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
276,species,pifgoo,pink-footed goose,anser brachyrhynchus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
277,domestic,domgoo1,domestic goose sp. (domestic type),anser sp. (domestic type),anseriformes,anatidae,,,"ducks, geese, and waterfowl"
278,spuh,anser1,anser sp.,anser sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
279,species,brant,brant,branta bernicla,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
280,issf,dabbra1,brant (dark-bellied),branta bernicla bernicla,anseriformes,anatidae,,brant,"ducks, geese, and waterfowl"
281,issf,atlbra1,brant (atlantic),branta bernicla hrota,anseriformes,anatidae,,brant,"ducks, geese, and waterfowl"
282,issf,blkbra1,brant (black),branta bernicla nigricans,anseriformes,anatidae,,brant,"ducks, geese, and waterfowl"
283,form,gybbra1,brant (gray-bellied),branta bernicla (gray-bellied),anseriformes,anatidae,,brant,"ducks, geese, and waterfowl"
284,intergrade,brant1,brant (atlantic x black),branta bernicla hrota x nigricans,anseriformes,anatidae,,brant,"ducks, geese, and waterfowl"
285,hybrid,x00685,snow goose x brant (hybrid),anser caerulescens x branta bernicla,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
286,species,bargoo,barnacle goose,branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
287,hybrid,x00363,bar-headed x barnacle goose (hybrid),anser indicus x branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
288,hybrid,x00649,graylag x barnacle goose (hybrid),anser anser x branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
289,hybrid,x00757,greater white-fronted x barnacle goose (hybrid),anser albifrons x branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
290,hybrid,x00364,lesser white-fronted x barnacle goose (hybrid),anser erythropus x branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
291,hybrid,x00756,pink-footed x barnacle goose (hybrid),anser brachyrhynchus x branta leucopsis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
292,species,cacgoo1,cackling goose,branta hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
293,issf,alcgoo1,cackling goose (aleutian),branta hutchinsii leucopareia,anseriformes,anatidae,,cacgoo1,"ducks, geese, and waterfowl"
294,issf,ricgoo1,cackling goose (richardson's),branta hutchinsii hutchinsii,anseriformes,anatidae,,cacgoo1,"ducks, geese, and waterfowl"
295,issf,cacgoo2,cackling goose (minima),branta hutchinsii minima,anseriformes,anatidae,,cacgoo1,"ducks, geese, and waterfowl"
296,issf,tacgoo1,cackling goose (taverner's),branta hutchinsii taverneri,anseriformes,anatidae,,cacgoo1,"ducks, geese, and waterfowl"
297,hybrid,x00831,emperor x cackling goose (hybrid),anser canagicus x branta hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
298,hybrid,x00692,snow x cackling goose (hybrid),anser caerulescens x branta hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
299,hybrid,x00694,ross's x cackling goose (hybrid),anser rossii x branta hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
300,hybrid,x00722,brant x cackling goose (hybrid),branta bernicla x hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
301,hybrid,x00414,greater white-fronted x cackling goose (hybrid),anser albifrons x branta hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
302,hybrid,x00416,barnacle x cackling goose (hybrid),branta leucopsis x hutchinsii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
303,species,cangoo,canada goose,branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
304,issf,cangoo4,canada goose (moffitti/maxima),branta canadensis moffitti/maxima,anseriformes,anatidae,,cangoo,"ducks, geese, and waterfowl"
307,issf,cangoo3,canada goose (occidentalis/fulva),branta canadensis occidentalis/fulva,anseriformes,anatidae,,cangoo,"ducks, geese, and waterfowl"
310,issf,cangoo1,canada goose (canadensis group),branta canadensis [canadensis group],anseriformes,anatidae,,cangoo,"ducks, geese, and waterfowl"
314,hybrid,x00908,bar-headed x canada goose (hybrid),anser indicus x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
315,hybrid,swagoo3,swan goose (domestic type) x canada goose (hybrid),anser cygnoides (domestic type) x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
316,hybrid,x00650,pink-footed x canada goose (hybrid),anser brachyrhynchus x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
317,hybrid,x00415,greater white-fronted x canada goose (hybrid),anser albifrons x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
318,hybrid,x00758,graylag x canada goose (hybrid),anser anser x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
319,hybrid,gragoo4,graylag goose (domestic type) x canada goose (hybrid),anser anser (domestic type) x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
320,hybrid,x00759,domestic goose sp. (domestic type) x canada goose (hybrid),anser sp. (domestic type) x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
321,hybrid,x00197,snow x canada goose (hybrid),anser caerulescens x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
322,hybrid,x00693,ross's x canada goose (hybrid),anser rossii x branta canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
323,hybrid,x00417,barnacle x canada goose (hybrid),branta leucopsis x canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
324,slash,y00470,cackling/canada goose,branta hutchinsii/canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
325,hybrid,y00765,snow/ross's x cackling/canada goose (hybrid),anser caerulescens/rossii x branta hutchinsii/canadensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
326,species,hawgoo,hawaiian goose,branta sandvicensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
327,species,rebgoo1,red-breasted goose,branta ruficollis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
328,hybrid,x00939,greater white-fronted x red-breasted goose (hybrid),anser albifrons x branta ruficollis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
329,hybrid,x00365,barnacle x red-breasted goose (hybrid),branta leucopsis x ruficollis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
330,spuh,branta1,branta sp.,branta sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
331,spuh,goose1,goose sp.,anser/branta sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
332,species,cabgoo1,cape barren goose,cereopsis novaehollandiae,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
335,species,freduc1,freckled duck,stictonetta naevosa,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
336,species,buwgoo1,blue-winged goose,cyanochen cyanoptera,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
337,species,mutswa,mute swan,cygnus olor,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
338,hybrid,x00366,graylag goose x mute swan (hybrid),anser anser x cygnus olor,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
339,species,blkswa,black swan,cygnus atratus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
340,species,blnswa2,black-necked swan,cygnus melancoryphus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
341,species,truswa,trumpeter swan,cygnus buccinator,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
342,hybrid,x00832,mute x trumpeter swan (hybrid),cygnus olor x buccinator,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
343,species,tunswa,tundra swan,cygnus columbianus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
344,issf,tunswa1,tundra swan (whistling),cygnus columbianus columbianus,anseriformes,anatidae,,tunswa,"ducks, geese, and waterfowl"
345,issf,bewswa1,tundra swan (bewick's),cygnus columbianus bewickii,anseriformes,anatidae,,tunswa,"ducks, geese, and waterfowl"
346,intergrade,tunswa2,tundra swan (whistling x bewick's),cygnus columbianus columbianus x bewickii,anseriformes,anatidae,,tunswa,"ducks, geese, and waterfowl"
347,hybrid,x00418,trumpeter x tundra swan (hybrid),cygnus buccinator x columbianus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
348,slash,y00471,trumpeter/tundra swan,cygnus buccinator/columbianus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
349,species,whoswa,whooper swan,cygnus cygnus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
350,hybrid,x00419,trumpeter x whooper swan (hybrid),cygnus buccinator x cygnus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
351,slash,y00708,tundra/whooper swan,cygnus columbianus/cygnus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
352,spuh,swan1,swan sp.,cygnus sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
353,species,cosswa1,coscoroba swan,coscoroba coscoroba,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
354,species,comduc2,knob-billed duck,sarkidiornis melanotos,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
355,species,comduc3,comb duck,sarkidiornis sylvicola,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
356,species,harduc1,hartlaub's duck,pteronetta hartlaubii,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
357,species,origoo1,orinoco goose,oressochen jubatus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
358,species,andgoo1,andean goose,oressochen melanopterus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
359,species,uplgoo1,upland goose,chloephaga picta,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
362,form,uplgoo2,upland goose (white-breasted),chloephaga picta (white-breasted),anseriformes,anatidae,,uplgoo1,"ducks, geese, and waterfowl"
363,form,uplgoo3,upland goose (bar-breasted),chloephaga picta (bar-breasted),anseriformes,anatidae,,uplgoo1,"ducks, geese, and waterfowl"
364,species,kelgoo1,kelp goose,chloephaga hybrida,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
367,species,ashgoo1,ashy-headed goose,chloephaga poliocephala,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
368,species,ruhgoo1,ruddy-headed goose,chloephaga rubidiceps,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
369,spuh,chloep1,chloephaga sp.,chloephaga sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
370,species,radshe1,radjah shelduck,radjah radjah,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
373,species,egygoo,egyptian goose,alopochen aegyptiaca,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
374,species,maushe1,mauritius shelduck,alopochen mauritiana,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
375,species,reushe1,reunion shelduck,alopochen kervazoi,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
376,species,rudshe,ruddy shelduck,tadorna ferruginea,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
377,hybrid,x00367,egyptian goose x ruddy shelduck (hybrid),alopochen aegyptiaca x tadorna ferruginea,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
378,species,soashe1,south african shelduck,tadorna cana,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
379,species,ausshe1,australian shelduck,tadorna tadornoides,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
380,species,parshe1,paradise shelduck,tadorna variegata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
381,species,comshe,common shelduck,tadorna tadorna,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
382,hybrid,x00876,ruddy x common shelduck (hybrid),tadorna ferruginea x tadorna,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
383,species,creshe1,crested shelduck,tadorna cristata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
384,species,spwgoo1,spur-winged goose,plectropterus gambensis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
385,issf,spwgoo2,spur-winged goose (northern),plectropterus gambensis gambensis,anseriformes,anatidae,,spwgoo1,"ducks, geese, and waterfowl"
386,issf,spwgoo3,spur-winged goose (southern),plectropterus gambensis niger,anseriformes,anatidae,,spwgoo1,"ducks, geese, and waterfowl"
387,species,flystd1,flying steamer-duck,tachyeres patachonicus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
388,species,flistd1,flightless steamer-duck,tachyeres pteneres,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
389,form,flistd2,flightless steamer-duck (chiloe form),tachyeres pteneres [undescribed form],anseriformes,anatidae,,flistd1,"ducks, geese, and waterfowl"
390,species,falstd1,falkland steamer-duck,tachyeres brachypterus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
391,species,whhstd1,white-headed steamer-duck,tachyeres leucocephalus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
392,spuh,steame1,steamer-duck sp.,tachyeres sp.,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
393,species,creduc1,crested duck,lophonetta specularioides,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
396,species,speduc2,spectacled duck,speculanas specularis,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
397,species,musduc,muscovy duck,cairina moschata,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
398,domestic,musduc3,muscovy duck (established feral),cairina moschata (established feral),anseriformes,anatidae,,musduc,"ducks, geese, and waterfowl"
399,domestic,musduc2,muscovy duck (domestic type),cairina moschata (domestic type),anseriformes,anatidae,,,"ducks, geese, and waterfowl"
400,species,grnpyg1,green pygmy-goose,nettapus pulchellus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
401,species,copgoo1,cotton pygmy-goose,nettapus coromandelianus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
404,species,afrpyg1,african pygmy-goose,nettapus auritus,anseriformes,anatidae,,,"ducks, geese, and waterfowl"
